method,#8,#9,#10,#11
SVR,0.544,1.422,1.889,4.087
RF,0.440,1.060,1.541,3.560
GPR,0.442,1.080,1.557,3.715
CNN,0.366,3.716,5.434,4.969
Benchmark,0.513,3.457,5.807,4.948
WSL(enough labels),0.427,2.691,2.542,1.527
WSL(limited labels),0.660,2.524,1.861,1.240
