method,#16,#17,#18
SVR,4.822,1.291,2.024
RF,5.018,1.169,1.830
GPR,4.990,1.306,1.999
CNN,0.948,0.214,0.652
Benchmark,0.632,0.626,0.435
WSL(enough labels),0.742,0.663,0.454
WSL(limited labels),0.565,1.049,1.377
