method,#22,#23,#24,#25,#26,#27
SVR,1.625,1.703,2.903,2.338,2.418,2.186
RF,2.091,1.435,2.122,1.910,2.049,1.625
GPR,2.321,2.320,4.001,2.711,3.516,2.876
CNN,1.561,1.755,5.443,2.596,2.525,2.044
Benchmark,1.115,1.102,4.442,1.564,1.855,1.643
WSL(enough labels),1.293,1.263,2.922,1.063,1.562,1.175
WSL(limited labels),1.962,1.192,2.136,1.140,1.813,0.899
