method,#5,#6,#7
SVR,0.839,1.435,1.744
RF,0.880,0.806,1.220
GPR,0.873,1.114,1.810
CNN,1.079,1.383,1.369
Benchmark,1.152,1.438,1.189
WSL(enough labels),1.046,0.956,0.800
WSL(limited labels),0.832,0.757,1.001
