method,#8,#9,#10,#11
SVR,1.733,1.797,2.083,2.507
RF,1.511,1.549,2.762,2.026
GPR,2.030,1.794,2.414,2.653
CNN,1.849,0.747,0.958,0.951
Benchmark,0.699,2.462,1.495,1.334
WSL(enough labels),1.334,1.318,0.414,0.567
WSL(limited labels),0.681,2.422,1.927,1.251
