method,#19,#20,#21
SVR,0.879,3.893,1.842
RF,0.949,3.906,1.706
GPR,0.877,3.941,1.788
CNN,1.305,1.059,2.325
Benchmark,1.399,1.376,1.654
WSL(enough labels),0.992,1.014,1.167
WSL(limited labels),1.079,0.987,0.934
