method,#5,#6,#7
SVR,1.114,0.595,1.124
RF,0.903,0.590,1.384
GPR,0.931,0.535,1.048
CNN,1.017,1.008,1.736
Benchmark,1.032,0.812,1.552
WSL(enough labels),0.946,0.911,0.931
WSL(limited labels),1.016,0.592,0.811
