method,#16,#17,#18
SVR,0.539,4.360,7.404
RF,0.574,4.293,7.427
GPR,0.569,4.361,7.451
CNN,0.447,1.171,2.910
Benchmark,0.229,1.644,3.164
WSL(enough labels),0.259,0.889,1.496
WSL(limited labels),0.565,0.744,1.382
