method,#19,#20,#21
SVR,0.757,3.665,1.399
RF,0.758,3.795,0.943
GPR,0.774,3.581,1.506
CNN,0.682,0.770,1.379
Benchmark,0.592,0.831,1.617
WSL(enough labels),0.828,0.655,1.015
WSL(limited labels),0.879,0.962,1.009
